SSR, lamb, beta, k, delta, p, c, K
9.229156538689846645e-01,1.603476555422713168e-01,9.035724476208546632e-05,1.622633817600481310e+00,4.460629827404759552e+18,2.075056779972592640e+18,1.360619942578276209e+02,8.420098041288631037e+06
1.036249865630430644e+00,1.412648618438841208e-01,2.231186333977417614e-05,2.253121442699361765e+00,2.886556769887251456e+18,3.132315334489543680e+18,8.851942786732489310e+01,7.875390163505032659e+06
6.694346612545107877e-01,1.588172353613962196e-01,2.701838259726986960e-05,1.961257749156502417e+00,2.968273122026149888e+18,3.044430041117202944e+18,9.131814332556236025e+01,8.560162506868069991e+06
1.211353967374827478e-01,2.685523845182106739e-01,1.856526994005552360e-05,1.503087686126761024e+00,2.682432912911415808e+18,3.134485429824391168e+18,8.097454183060183652e+01,3.297315703060878441e+07
4.974001520586609493e-01,2.113914771650565183e-01,1.966234110954827397e-05,1.687454924351299512e+00,2.759290728672215552e+18,3.432087919832269824e+18,8.490055119766917358e+01,1.805141520728334039e+07
8.234080322747141523e-01,1.851361077145914913e-01,2.078076495372599403e-05,1.481966506152473162e+00,3.199167630785335296e+18,3.821143235626333184e+18,8.351630099362391491e+01,1.618298891125400923e+07
9.102708870434412791e-01,1.810206528215309585e-01,2.072956935771474697e-05,1.665241367879049195e+00,3.006836880404405760e+18,3.005398603647030784e+18,7.407895831370919382e+01,1.737554920986773074e+07
1.463262232281877573e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
1.478446060153646879e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
1.502830939604596683e+00,1.367045225429712185e-01,2.203316467872694083e-05,2.154304155732068793e+00,2.896879544643862528e+18,3.121154603939891712e+18,8.897100562306904692e+01,8.027577010705872439e+06
1.242725899331490913e+00,1.406070253159353023e-01,1.963841129394969088e-05,1.849008563316762110e+00,2.631230590394360832e+18,3.436247321275354624e+18,7.933024183713352784e+01,6.599271344769709744e+06
9.380057646748445332e-01,1.555703784111598653e-01,6.037511268178197277e-05,1.600041976505440999e+00,5.225871691185343488e+18,1.722607707663056128e+18,5.728966940361276983e+01,6.886721571412827820e+06
1.427972593735871598e+00,1.367006658479776871e-01,2.203317843216686964e-05,2.154294201343059711e+00,2.896889307647213568e+18,3.121144133266808320e+18,8.897141112696471055e+01,8.027631583197995089e+06
