SSR, lamb, beta, k, delta, p, c, K
1.83E+00,8.59E-04,2.80E-06,2.24E+02,7.07E+00,1.00E+00,1.58E+00,1.13E+07
2.79E+00,2.72E-04,3.73E-06,1.83E+02,2.76E+00,4.23E-01,2.07E+00,1.77E+07
2.30E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.03E+05,4.24E-79,4.85E-64,1.41E-54,7.76E-21,1.78E-41,1.49E+24,8.43E-48
3.43E+00,1.09E-01,1.21E-06,4.37E+02,2.88E+00,1.30E+00,3.26E+00,3.72E+07
3.08E+00,9.63E-03,2.60E-06,6.69E+02,3.63E+00,1.16E+00,4.42E+00,8.76E+06
7.29E+03,6.29E-12,3.87E-04,8.74E+08,5.49E+03,1.32E+01,7.63E+06,5.32E+10
3.00E+00,2.05E-03,4.05E-06,5.29E+02,2.73E+00,4.19E-01,2.55E+00,3.83E+07
9.74E-01,1.11E-01,2.27E-06,7.73E+00,7.80E+00,1.64E+00,2.72E+00,2.02E+07
1.01E+00,1.25E-01,2.10E-06,6.22E+01,1.14E+01,1.45E+00,1.50E+00,4.23E+07
2.58E+00,1.68E-02,4.53E-07,4.18E+02,2.37E+00,5.52E+00,4.19E+00,8.19E+06
1.60E+00,8.24E-02,1.12E-06,1.11E+02,3.03E+00,2.03E+00,3.73E+00,1.67E+07
2.94E+00,1.04E-01,4.91E-07,1.38E+03,4.20E+00,5.00E+00,3.33E+00,1.85E+07
9.25E+00,1.71E-01,1.03E-04,4.56E+00,2.71E+00,1.26E-02,1.99E+00,1.43E+07
1.27E+00,8.28E-02,1.47E-06,5.11E+00,5.11E+00,2.59E+00,2.82E+00,1.02E+07
1.72E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.92E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
8.17E+03,5.35E-41,2.20E-37,1.29E+45,7.34E+08,4.64E+37,1.04E+15,5.11E+02
3.68E+00,1.39E-03,1.93E-06,2.19E+01,2.92E+00,9.65E-01,2.23E+00,1.44E+06
7.05E+03,1.63E-11,1.06E-08,1.16E+07,1.26E+03,4.24E-03,5.07E+06,1.05E+10
1.50E+03,3.47E-07,7.60E+18,1.36E+36,2.22E-02,5.14E+17,3.76E+09,1.75E+27
1.75E+00,2.69E-02,1.27E-06,1.66E+01,3.99E+00,3.82E+00,5.37E+00,3.89E+06
1.59E+00,1.31E-01,1.77E-06,1.29E+03,8.77E+00,1.66E+00,2.09E+00,3.10E+07
1.21E+03,2.75E+01,1.60E+32,5.24E+56,8.48E-08,1.86E+35,2.24E+09,1.01E+41
9.49E+00,2.33E-01,1.04E-04,5.49E+00,1.29E+00,7.46E-03,2.58E+00,2.67E+07
3.43E+00,4.36E-04,2.79E-06,9.99E+02,2.45E+00,5.31E-01,2.22E+00,1.80E+07
1.49E+00,3.26E-02,2.89E-06,2.86E+02,2.02E+00,9.77E-01,6.60E+00,9.94E+06
1.96E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.78E+00,1.44E-01,3.57E-06,1.24E+02,2.79E+00,4.74E-01,2.54E+00,1.48E+07
7.93E+02,1.17E-11,1.77E-03,1.22E-02,8.04E+01,2.36E-04,8.17E+02,2.18E+12
4.24E+01,5.38E-20,2.15E-20,2.95E+12,3.02E-02,8.67E+11,1.70E-10,8.90E+19
1.38E+00,5.13E-05,8.02E-07,2.05E+02,7.07E+00,4.61E+00,2.57E+00,1.16E+07
1.36E+00,5.45E-02,1.66E-06,1.45E+02,2.03E+00,6.98E-01,2.42E+00,1.26E+08
7.93E-01,1.48E-01,1.43E-06,8.24E+01,5.91E+00,1.24E+00,1.43E+00,3.15E+07
7.92E+00,1.37E-01,2.40E-05,1.98E+01,2.42E+00,3.60E-02,1.03E+00,1.51E+07
1.28E+00,1.93E-02,6.05E-07,1.92E+02,5.03E+00,2.40E+01,2.07E+01,1.27E+07
1.47E+01,1.66E-01,1.36E-04,4.75E+00,2.42E+00,6.74E-03,2.06E+00,2.85E+07
3.77E+00,3.16E-02,6.19E-06,1.63E+02,3.82E+00,2.68E-01,1.22E+00,4.51E+06
1.65E+00,6.63E-03,6.85E-07,2.65E+01,6.33E+00,6.14E+00,3.59E+00,8.20E+07
2.21E+00,1.44E-01,1.52E-06,1.57E+02,2.28E+00,1.07E+00,3.02E+00,1.56E+07
2.80E+00,7.74E-02,6.47E-06,2.93E+02,6.03E+00,3.88E-01,2.17E+00,1.55E+07
1.18E+00,8.35E-02,3.76E-06,5.14E+02,8.27E+00,8.71E-01,1.62E+00,1.09E+07
2.76E+00,1.49E-01,2.90E-06,5.46E+01,2.41E+00,5.06E-01,2.35E+00,1.32E+07
5.69E+00,6.56E+09,2.79E-33,1.04E+69,2.15E+15,8.80E+55,1.15E+35,7.14E+19
3.13E+00,1.29E-01,3.63E-06,1.34E+02,2.43E+00,4.45E-01,2.28E+00,1.21E+07
3.78E+00,2.00E-01,7.46E-06,6.94E+01,2.63E+00,1.11E-01,1.72E+00,4.07E+07
5.27E+00,2.76E-01,5.33E-06,5.15E+01,2.04E+00,1.05E-01,2.02E+00,5.16E+07
1.85E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.59E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.64E+00,1.17E-01,9.37E-06,3.08E+01,3.83E+00,1.15E-01,1.53E+00,4.42E+07
2.82E+04,7.96E-32,8.40E-09,1.05E+11,1.98E+06,2.37E+07,3.27E+14,4.89E+06
3.41E+00,1.63E-01,1.47E-06,3.76E+02,2.24E+00,8.27E-01,2.25E+00,1.79E+07
9.73E+00,1.86E+00,4.22E-05,2.36E+00,2.36E+00,3.97E-02,2.33E+00,2.41E+07
3.89E+00,5.10E-01,1.40E-05,7.34E+00,2.00E+00,2.59E-02,1.38E+00,5.61E+07
1.37E+00,1.47E-01,5.58E-06,1.08E+02,4.77E+00,3.45E-01,1.69E+00,1.54E+07
2.21E+00,1.81E-02,2.75E-06,3.22E+02,3.64E+00,8.21E-01,2.39E+00,3.68E+06
2.09E+00,1.05E-02,9.81E-07,5.24E+02,3.42E+00,3.58E+00,4.93E+00,3.62E+06
1.94E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
8.25E-01,8.99E-03,1.32E-06,3.24E+01,4.64E+00,1.47E+01,2.47E+01,1.81E+06
1.93E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.86E+00,3.00E-02,2.12E-06,2.44E+01,5.03E+00,1.82E+00,3.79E+00,6.68E+06
2.76E+00,1.06E-01,5.29E-06,4.71E+01,1.80E+00,1.56E-01,1.92E+00,4.32E+07
5.47E+00,4.09E-01,1.86E-05,1.93E+01,5.08E+00,4.11E-02,1.06E+00,5.47E+07
1.29E+00,1.82E-02,3.96E-07,1.40E+01,9.97E+00,5.14E+01,1.14E+01,2.37E+06
3.21E+00,2.02E-01,4.45E-06,1.07E+02,3.30E+00,2.02E-01,1.56E+00,3.18E+07
2.57E+04,1.09E-04,1.80E+13,8.18E-22,3.29E-25,6.49E+12,1.95E-23,3.56E+08
2.43E+00,9.79E-02,2.50E-06,3.16E+02,1.61E+00,8.59E-01,4.88E+00,1.28E+07
1.67E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
6.06E+03,1.25E+01,7.72E-09,2.34E+10,2.49E+10,1.54E-07,1.98E+13,1.68E+04
9.21E+00,4.51E-01,1.97E-04,1.77E+00,2.70E+00,6.24E-03,2.16E+00,2.34E+07
1.39E+00,1.91E-02,1.55E-06,6.83E+01,3.15E+00,1.47E+01,3.60E+01,2.46E+06
1.39E+00,7.24E-02,1.45E-06,1.46E+02,3.54E+00,3.01E+00,6.70E+00,1.12E+07
3.29E+00,8.13E-03,3.33E-06,1.19E+02,1.85E+00,5.47E-01,3.52E+00,6.73E+06
5.58E+00,2.27E-01,9.60E-05,3.52E+00,2.76E+00,1.12E-02,1.40E+00,1.45E+07
2.15E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.92E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.47E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
6.27E+00,3.21E-01,5.31E-06,4.84E+01,2.17E+00,9.66E-02,1.49E+00,4.61E+07
1.11E+03,1.16E-21,2.65E-34,6.21E+38,8.33E+11,1.93E+41,8.58E+06,1.47E+07
1.08E+04,1.31E+01,1.69E-07,1.79E+12,1.44E+10,1.20E-05,8.08E+12,1.10E+05
1.91E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.29E+00,5.48E-02,6.79E-07,8.12E+01,3.72E+00,5.90E+00,4.78E+00,6.68E+06
2.34E+00,6.82E-02,1.50E-06,1.59E+02,2.35E+00,8.95E-01,1.97E+00,1.47E+07
2.31E+00,2.46E-01,4.85E-06,1.27E+02,4.07E+00,2.25E-01,1.48E+00,3.14E+07
1.92E+04,7.63E-05,7.32E-16,1.11E-04,3.86E+10,3.44E-07,5.58E+14,7.36E+03
5.50E+00,4.82E-01,4.04E-05,3.61E+00,1.79E+00,1.55E-02,1.28E+00,2.37E+07
1.45E+00,2.62E-02,1.26E-06,4.15E+01,6.79E+00,2.46E+00,2.53E+00,7.23E+07
1.99E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.85E+00,5.94E-02,1.85E-06,5.31E+02,4.47E+00,1.11E+00,1.85E+00,1.43E+07
1.59E+00,1.68E-01,1.17E-06,1.38E+03,2.74E+00,1.74E+00,4.01E+00,2.03E+07
5.21E-01,1.20E-01,1.10E-06,1.88E+02,2.69E+00,1.83E+00,3.97E+00,2.08E+07
1.93E+00,9.47E-04,1.21E-06,1.84E+02,2.23E+00,1.44E+00,2.76E+00,3.87E+08
1.57E+00,3.11E-02,2.25E-06,2.92E+01,1.37E+00,3.15E+00,1.82E+01,8.07E+06
2.70E+00,2.63E-01,2.06E-06,6.40E+01,2.08E+00,3.85E-01,2.05E+00,3.16E+07
1.81E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.25E+00,6.82E-02,1.48E-06,1.99E+02,1.37E+00,2.37E+00,8.68E+00,1.24E+07
2.41E+00,5.23E-02,9.14E-07,1.36E+02,3.85E+00,1.95E+00,2.11E+00,3.73E+07
