SSR, lamb, beta, k, delta, p, c, K
1.73E+00,3.16E-04,5.11E-07,3.75E+02,1.10E+01,1.24E+01,3.41E+00,9.01E+06
2.68E+00,9.65E-02,1.28E-06,2.38E+02,7.87E+00,1.79E+00,1.66E+00,5.37E+07
2.23E+00,7.71E-03,6.77E-06,9.39E+01,2.89E+00,1.89E-01,1.39E+00,4.15E+06
3.57E+00,3.05E-01,5.26E-06,5.28E+01,2.31E+00,1.12E-01,1.65E+00,3.80E+07
2.42E+00,8.90E-02,7.68E-07,5.88E+01,2.99E+00,3.01E+00,3.68E+00,1.52E+07
3.35E+00,4.49E-02,2.00E-05,2.61E+01,3.47E+00,7.04E-02,1.58E+00,1.27E+07
8.52E-01,2.27E-02,8.84E-07,1.50E+02,7.59E+00,4.15E+00,2.95E+00,6.38E+07
1.92E+00,9.94E-02,5.12E-07,1.68E+02,1.65E+01,1.13E+01,2.86E+00,4.64E+07
5.22E+04,7.06E-22,1.62E+12,9.33E-51,1.05E-72,3.50E+33,1.25E-67,1.49E+61
1.01E+00,4.23E-02,2.33E-07,8.31E+01,6.69E+00,1.09E+03,2.68E+02,7.31E+06
7.89E+01,1.64E-39,3.03E-112,1.54E-52,1.99E+22,8.81E-80,2.51E-07,1.11E+14
2.70E+00,1.71E-01,3.85E-06,1.42E+02,3.52E+00,3.90E-01,2.29E+00,2.41E+07
1.57E+00,2.31E-02,6.76E-07,4.99E+01,3.29E+00,4.87E+00,5.07E+00,2.37E+07
3.72E+00,4.17E-02,8.91E-06,3.37E+02,4.14E+00,2.92E-01,2.77E+00,6.43E+06
1.45E+00,1.40E-01,1.49E-06,1.68E+02,2.21E+00,8.26E-01,2.08E+00,1.58E+07
1.52E+00,5.00E-04,2.48E-06,1.55E+02,6.97E+00,1.55E+00,3.28E+00,3.06E+07
2.38E+00,1.19E-01,1.52E-06,1.97E+02,3.93E+00,1.08E+00,1.86E+00,2.10E+07
2.40E+04,1.34E-22,3.29E-14,3.23E+13,3.50E+04,2.04E-03,1.21E+14,3.40E+25
1.57E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.61E+00,5.38E-03,1.67E-06,5.91E+02,4.90E+00,1.30E+00,1.60E+00,7.59E+06
9.64E+02,1.89E-24,8.07E-25,3.45E+30,6.70E+04,4.79E+25,4.11E+07,1.99E+08
1.74E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.55E+00,3.41E-03,2.59E-06,1.60E+02,3.13E+00,6.37E-01,2.14E+00,2.73E+07
1.44E+00,8.80E-02,1.79E-06,2.88E+01,7.70E+00,4.30E+00,6.88E+00,1.36E+07
3.08E+00,6.81E-02,3.53E-06,1.76E+02,3.25E+00,5.33E-01,2.06E+00,8.49E+06
1.60E+00,3.52E-03,1.10E-06,4.81E+02,3.41E+00,1.95E+00,2.76E+00,2.12E+07
6.58E-01,6.91E-02,1.36E-06,2.73E+01,5.44E+00,1.98E+00,3.33E+00,3.02E+07
3.30E+00,2.98E-02,7.21E-06,2.85E+02,1.59E+00,1.66E-01,2.84E+00,2.12E+07
2.01E+00,7.96E-02,1.43E-06,5.04E+01,2.25E+00,2.75E+00,8.87E+00,1.50E+07
1.56E+00,4.86E-02,1.14E-06,2.09E+02,6.76E+00,2.66E+00,2.84E+00,5.62E+07
1.54E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.88E+00,1.03E-01,1.10E-06,4.84E+01,4.03E+00,1.59E+00,2.04E+00,2.60E+07
4.80E+00,1.88E-02,5.46E-06,4.85E+01,4.91E+00,1.42E+00,9.36E+00,3.56E+06
2.34E+00,1.15E-01,5.25E-06,3.18E+01,2.46E+00,2.56E-01,1.61E+00,1.11E+07
4.06E+02,1.76E+10,3.62E-10,6.18E-04,6.86E-09,1.03E+04,5.39E-12,6.81E+10
1.97E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.19E+00,4.96E-02,1.18E-06,3.24E+01,2.84E+00,6.40E+00,1.50E+01,1.28E+07
5.98E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+10,8.20E-22
1.78E+00,1.05E-01,3.57E-07,3.93E+02,3.82E+00,9.70E+00,5.01E+00,1.61E+07
1.90E+00,8.31E-02,7.30E-06,5.14E+01,4.76E+00,3.86E-01,2.61E+00,8.05E+06
2.66E+00,2.46E-03,8.61E-07,2.38E+02,4.47E+00,2.86E+00,2.51E+00,4.30E+07
1.77E+00,1.94E-01,1.45E-06,1.52E+02,2.72E+00,1.25E+00,4.15E+00,2.85E+07
8.05E+01,3.18E-02,1.05E-05,9.31E+01,2.89E+00,1.99E-01,1.77E+00,2.59E+06
1.48E+00,3.90E-02,4.36E-07,1.83E+02,4.12E+01,4.28E+01,3.15E+00,7.92E+07
1.52E+00,9.76E-05,6.00E-07,9.74E+01,8.46E+00,7.10E+00,2.54E+00,3.97E+07
1.62E+00,3.26E-04,2.62E-06,7.80E+01,2.66E+01,3.80E+00,1.92E+00,8.56E+06
7.61E-01,1.21E-01,1.74E-06,1.42E+02,3.39E+00,1.52E+00,3.70E+00,1.30E+07
1.64E+00,6.79E-02,4.63E-06,2.42E+02,3.28E+00,7.05E-01,5.20E+00,9.85E+06
2.21E+00,1.53E-01,7.41E-06,5.14E+01,3.51E+00,1.75E-01,1.93E+00,2.13E+07
5.97E+00,4.81E-01,1.09E-05,2.54E+01,1.99E+00,3.90E-02,1.31E+00,4.36E+07
2.81E+00,1.19E-01,3.05E-06,1.31E+02,2.34E+00,5.04E-01,2.69E+00,1.41E+07
4.57E+00,3.08E-04,1.98E-05,2.40E+01,5.99E+00,1.17E-01,1.77E+00,3.98E+06
2.42E+00,1.00E-01,2.34E-06,1.04E+02,3.60E+00,7.38E-01,2.96E+00,3.29E+07
1.92E+00,5.85E-03,6.87E-07,1.59E+01,3.98E+00,3.83E+00,2.74E+00,2.30E+07
1.02E+01,3.27E-01,1.74E-04,2.30E+00,3.05E+00,6.78E-03,1.92E+00,1.64E+07
2.26E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
8.82E+00,1.10E-01,1.23E-04,3.04E+00,2.58E+00,8.61E-03,1.65E+00,2.74E+07
1.38E+01,1.69E+00,9.04E-05,2.44E+00,2.19E+00,1.01E-02,2.37E+00,3.63E+07
1.86E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.01E+04,2.49E-02,1.49E-11,7.62E+08,2.49E+10,1.17E-08,5.32E+12,2.88E+04
1.22E+00,1.25E-01,1.37E-06,1.16E+03,3.41E+00,1.83E+00,4.82E+00,2.63E+07
1.09E+00,3.12E-02,1.20E-06,1.14E+02,3.27E+00,1.56E+00,2.39E+00,1.29E+07
1.36E+03,4.18E-02,4.46E+13,3.59E+30,4.10E+00,1.67E+13,9.07E+09,3.70E+21
1.77E+00,7.27E-04,7.29E-07,4.40E+02,2.90E+00,3.23E+00,3.67E+00,2.54E+07
1.77E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.87E+00,5.63E-02,1.12E-06,6.73E+01,1.02E+01,8.35E+00,6.03E+00,9.14E+06
3.58E+00,1.96E-01,4.96E-07,6.68E+02,5.48E+00,3.94E+00,2.00E+00,2.66E+07
3.10E+00,2.90E-01,2.03E-06,3.71E+01,2.43E+00,3.49E-01,1.65E+00,3.70E+07
2.21E+00,2.23E-01,4.39E-06,5.34E+01,4.27E+00,2.71E-01,1.91E+00,3.92E+07
2.96E+00,1.32E-01,1.09E-06,7.55E+02,4.39E+00,1.96E+00,2.54E+00,1.91E+07
1.65E+00,2.77E-02,2.20E-06,7.90E+01,8.58E+00,2.05E+00,2.99E+00,8.10E+06
1.17E+05,2.91E-25,5.21E-51,1.25E-06,1.84E+13,9.46E-49,4.14E+19,7.81E-08
1.15E+01,2.53E-01,1.25E-04,2.25E+00,3.37E+00,9.70E-03,9.77E-01,1.66E+07
6.80E-01,1.06E-01,8.30E-07,2.45E+02,1.25E+01,5.71E+00,2.53E+00,3.61E+07
4.51E+00,2.85E-01,3.61E-06,1.19E+02,1.67E+00,1.81E-01,2.00E+00,3.07E+07
6.28E+00,1.26E-01,1.55E-05,1.18E+02,6.22E+00,1.57E-01,1.58E+00,1.24E+07
3.18E+04,5.05E-21,1.87E-19,3.60E+14,6.71E+03,6.90E-06,1.71E+19,1.62E+40
2.04E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.05E+00,1.26E-02,1.76E-06,7.00E+01,3.70E+00,1.06E+00,1.87E+00,9.06E+06
9.52E+00,3.56E-02,2.02E-06,2.89E+02,6.91E+00,1.77E+00,1.67E+00,6.75E+06
1.87E+00,9.69E-02,6.40E-06,2.07E+02,1.01E+01,4.87E-01,1.55E+00,2.39E+07
2.37E+00,2.37E-01,8.34E-07,1.02E+02,2.13E+00,1.59E+00,2.34E+00,1.92E+07
1.64E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.86E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.78E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.86E+00,7.13E-02,2.08E-06,9.71E+01,3.04E+00,2.07E+00,7.22E+00,9.94E+06
6.15E+03,2.72E-25,3.10E+05,4.35E-02,7.65E+12,3.50E+07,4.67E+18,9.96E-06
2.47E+00,3.62E-02,1.19E-06,2.94E+02,4.28E+00,2.66E+00,4.16E+00,3.45E+07
1.74E+00,2.56E-03,6.21E-07,4.13E+02,6.52E+00,5.91E+00,2.80E+00,3.30E+07
1.25E+00,8.93E-02,1.78E-06,1.47E+02,1.77E+00,1.11E+00,4.91E+00,1.98E+07
1.17E+00,5.70E-03,3.61E-07,6.35E+01,9.46E+00,2.32E+01,5.75E+00,7.91E+06
9.47E+00,3.55E-01,8.00E-05,3.94E+00,3.04E+00,9.16E-03,1.21E+00,3.27E+07
7.47E+03,5.35E-51,2.98E-30,3.06E+50,4.10E+14,9.59E+15,1.52E+29,9.51E+70
1.63E+01,4.62E-02,1.97E-05,1.19E+02,2.62E+01,1.13E+00,1.33E+00,1.53E+06
2.40E+01,7.05E-01,3.55E-04,9.07E-01,2.04E+00,8.01E-03,9.34E-01,4.81E+06
3.09E+00,3.58E-01,3.38E-06,5.15E+01,2.68E+00,1.49E-01,1.55E+00,5.73E+07
5.75E+03,6.59E-27,4.77E-70,1.64E-18,2.91E+15,2.08E-49,1.76E+04,3.09E-11
4.21E+00,1.34E-01,2.68E-06,1.38E+02,1.68E+00,7.28E-01,4.68E+00,1.71E+07
1.77E+00,1.93E-01,6.63E-06,8.42E+00,2.50E+00,1.95E-01,1.90E+00,1.40E+07
1.85E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.14E+00,1.24E-01,2.17E-06,7.93E+01,6.70E+00,1.06E+00,1.61E+00,2.09E+07
1.96E+00,1.04E-01,8.15E-07,1.75E+02,3.50E+00,2.64E+00,2.82E+00,1.56E+07
1.39E+00,9.31E-02,9.98E-07,1.03E+02,3.55E+00,2.96E+00,4.52E+00,1.50E+07
3.14E+00,2.35E-01,9.87E-06,4.04E+01,2.61E+00,8.79E-02,1.40E+00,2.13E+07
3.21E+01,8.79E-12,4.99E-203,2.51E-133,1.44E-58,6.68E-151,1.17E+66,3.05E-196
4.01E+00,6.17E-02,2.85E-06,6.37E+02,3.25E+00,4.63E-01,1.79E+00,2.51E+07
4.58E+02,6.67E-08,1.16E-09,4.01E+01,2.76E+02,8.06E+06,2.05E+00,2.96E-07
3.16E+00,2.05E-03,1.55E-05,1.30E+02,5.71E+00,1.27E-01,1.56E+00,1.04E+07
6.36E+00,3.87E-02,1.08E-05,5.56E+01,1.59E+00,9.05E-02,2.05E+00,3.01E+07
1.02E+00,1.25E-02,2.05E-06,8.84E+00,8.69E+00,5.15E+00,6.88E+00,3.35E+06
3.65E+03,1.93E-09,1.59E-10,1.85E+02,5.73E+01,1.72E-04,1.26E+03,1.91E+10
1.80E+00,6.85E-03,6.45E-07,7.81E+01,3.62E+00,3.77E+01,3.32E+01,8.70E+05
2.06E+03,7.91E-15,2.17E-21,9.84E+08,1.70E+00,4.32E+20,9.27E+10,1.23E+10
2.64E+00,1.83E-01,2.65E-06,1.79E+02,4.00E+00,5.06E-01,1.62E+00,2.26E+07
1.54E+00,5.61E-03,1.86E-06,1.39E+02,3.71E+00,9.20E-01,1.65E+00,5.11E+07
1.82E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.85E+00,6.60E-02,3.89E-06,1.28E+02,3.21E+00,3.64E-01,2.13E+00,2.14E+07
2.87E+00,1.51E-01,7.45E-06,1.23E+02,4.48E+00,2.22E-01,1.50E+00,1.48E+07
1.66E+05,2.71E-09,9.53E-59,5.90E-07,3.78E+13,2.73E-65,6.56E+21,1.11E+05
4.78E+00,1.63E-02,2.57E-06,2.15E+01,2.29E+00,7.78E-01,2.62E+00,5.68E+06
1.88E+00,7.09E-02,1.33E-06,1.92E+03,4.51E+00,1.53E+00,2.25E+00,2.07E+07
1.61E+00,3.10E-03,1.02E-06,4.23E+02,2.55E+00,1.52E+00,2.12E+00,5.54E+07
2.14E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.04E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.37E+00,9.55E-02,1.83E-06,1.55E+02,3.86E+00,1.29E+00,3.86E+00,2.11E+07
1.08E+02,1.08E+03,1.75E+00,2.04E+14,7.55E+19,7.11E+01,3.69E-04,1.69E+10
1.16E+03,9.45E-06,1.18E+15,3.57E+32,1.09E+01,1.14E+14,3.68E+10,6.19E+22
2.28E+00,6.61E-02,2.57E-06,1.84E+02,3.31E+00,1.71E+00,7.11E+00,8.77E+06
1.03E+04,4.81E-41,9.91E-65,2.68E+45,3.67E+08,1.23E+80,1.10E+30,5.61E+12
2.53E+00,2.59E-02,2.63E-06,6.60E+01,1.67E+00,1.87E+00,1.29E+01,1.45E+07
2.26E+00,1.17E-01,4.43E-06,5.17E+01,3.48E+00,4.19E-01,2.46E+00,1.50E+07
1.83E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.18E+00,2.20E-01,1.60E-06,2.53E+02,3.27E+00,6.53E-01,1.51E+00,3.18E+07
4.79E+00,1.38E-01,7.36E-07,7.80E+03,2.23E+00,1.96E+00,3.81E+00,7.11E+07
1.63E+00,2.55E-02,1.33E-06,6.11E+01,3.71E+00,7.77E+00,1.65E+01,6.26E+06
5.07E+04,5.38E-14,6.95E-40,2.93E-02,0.00E+00,1.13E-41,7.73E+11,4.52E+04
2.30E+00,1.17E-01,2.05E-06,2.44E+04,6.34E+00,1.23E+00,1.75E+00,1.45E+07
inf,1.69E-01,1.76E-06,1.60E+02,4.48E+00,9.55E-01,2.28E+00,2.67E+07
2.01E+00,1.28E-01,2.73E-06,1.23E+02,5.28E+00,8.20E-01,1.73E+00,1.27E+07
1.77E+00,7.29E-02,1.75E-06,3.32E+02,6.17E+00,1.80E+00,2.72E+00,1.48E+07
2.34E+00,1.99E-01,5.16E-06,1.33E+02,3.27E+00,2.11E-01,1.34E+00,2.23E+07
1.39E+00,2.00E-02,4.43E-07,9.42E+01,3.53E+00,2.39E+01,1.79E+01,8.19E+06
6.97E+00,7.68E-02,4.58E-05,2.32E+01,3.83E+00,4.88E-02,1.60E+00,3.34E+06
1.12E+00,2.08E-02,5.47E-06,5.33E+01,2.57E+00,7.55E-01,8.08E+00,5.44E+06
1.58E+03,1.57E-01,8.40E+31,3.66E+57,4.54E-07,1.66E+32,6.87E+12,1.26E+42
2.61E+00,1.06E-03,1.30E-06,3.50E+02,3.36E+00,1.77E+00,3.23E+00,8.16E+06
5.49E+00,3.04E-01,6.93E-05,4.20E+00,3.69E+00,1.79E-02,1.04E+00,1.31E+07
1.50E+00,7.70E-03,1.64E-06,7.15E+00,7.95E+00,4.84E+00,4.30E+00,1.22E+06
1.14E+00,1.06E-02,1.24E-06,2.17E+02,2.42E+01,1.26E+01,3.76E+00,2.05E+06
1.08E+01,1.82E-01,2.10E-04,3.43E+00,3.04E+00,8.02E-03,2.70E+00,1.52E+07
2.98E+00,4.96E-03,5.35E-06,1.46E+03,2.00E+00,4.26E-01,4.89E+00,4.67E+06
4.70E+03,4.67E-32,8.69E-40,2.58E+48,3.40E+05,3.64E+67,2.22E+30,2.09E-01
1.96E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.05E+05,3.08E+03,3.28E-10,5.42E+10,4.60E+09,5.37E-07,8.94E+12,3.21E+06
5.46E+00,8.29E-02,1.33E-05,1.63E+01,2.38E+00,9.29E-02,1.96E+00,1.18E+07
8.07E+00,4.45E-01,2.85E-05,3.37E+00,1.99E+00,2.14E-02,1.26E+00,2.73E+07
2.47E+00,1.31E-01,1.54E-06,1.68E+02,2.02E+00,1.16E+00,4.00E+00,1.65E+07
2.88E+00,1.32E-01,1.22E-06,1.37E+02,4.00E+00,1.02E+00,1.62E+00,4.22E+07
3.25E+00,1.22E-01,3.57E-06,1.85E+02,5.12E+00,7.74E-01,2.32E+00,1.47E+07
1.57E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.51E+00,5.54E-03,2.47E-06,1.39E+02,1.51E+00,1.09E+00,7.19E+00,8.73E+06
3.16E+00,2.10E-01,2.20E-06,1.29E+02,3.60E+00,4.15E-01,1.84E+00,4.81E+07
1.54E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.52E+00,8.75E-02,3.15E-06,1.47E+03,1.21E+01,1.18E+00,1.62E+00,3.81E+07
3.31E+00,3.04E-02,6.28E-06,6.74E+02,4.23E+00,2.83E-01,2.28E+00,3.09E+07
1.58E+00,6.34E-02,9.93E-07,2.60E+01,3.90E+00,2.29E+00,2.36E+00,1.05E+07
1.91E+00,1.55E-01,1.91E-06,1.10E+02,2.79E+00,7.00E-01,1.82E+00,1.53E+07
1.43E+00,4.03E-03,9.84E-07,9.71E+01,4.21E+00,4.29E+00,3.70E+00,4.18E+05
1.10E+00,3.86E-02,9.87E-07,1.90E+01,6.37E+00,1.24E+01,1.19E+01,8.40E+06
3.64E+00,7.64E-02,2.32E-05,1.62E+01,2.92E+00,5.39E-02,1.99E+00,1.91E+07
1.08E+01,1.93E+00,8.57E-05,2.16E+00,2.16E+00,1.27E-02,2.17E+00,3.00E+07
1.15E+00,4.76E-02,1.19E-06,2.06E+02,3.02E+00,2.35E+00,4.87E+00,1.49E+07
1.17E+00,2.17E-02,3.43E-07,1.39E+01,1.35E+01,4.49E+01,7.27E+00,7.11E+06
1.48E+03,2.70E-03,5.02E+28,1.72E+60,1.99E-01,1.73E+31,2.19E+16,5.24E+40
1.84E+00,1.30E-01,1.48E-06,1.53E+02,3.50E+00,1.36E+00,2.75E+00,1.62E+07
3.80E+00,8.83E-02,5.15E-06,1.06E+02,2.85E+00,2.57E-01,2.32E+00,3.28E+07
4.70E+00,2.60E-02,8.62E-06,1.28E+02,2.36E+00,1.10E-01,1.28E+00,6.06E+07
1.37E+00,5.65E-02,1.32E-06,9.55E+01,1.01E+01,3.80E+00,2.40E+00,9.11E+06
1.39E+05,2.00E-59,5.16E+03,5.71E+10,6.04E+14,2.71E+07,1.35E+33,2.50E+17
2.65E+00,1.56E-02,3.04E-06,1.74E+02,3.85E+00,7.08E-01,2.36E+00,6.82E+06
8.69E-01,1.19E-01,3.22E-06,1.94E+02,7.99E+00,7.99E-01,2.18E+00,3.02E+07
2.46E+00,2.35E-02,1.38E-06,1.12E+02,3.16E+00,1.52E+00,2.72E+00,8.07E+06
1.99E+00,2.57E-02,2.85E-06,5.18E+02,4.99E+00,9.92E-01,3.28E+00,9.33E+07
1.86E+01,2.66E-22,8.39E-12,2.36E-147,2.19E+38,1.33E+50,2.50E+10,1.24E-39
4.83E+01,2.81E+12,1.44E-14,3.58E-04,8.58E+01,1.47E+18,1.85E-26,9.95E+11
2.52E+00,7.16E-02,9.46E-07,3.43E+02,6.89E+00,2.93E+00,2.24E+00,3.00E+07
1.82E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.31E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
9.68E+00,5.89E-01,6.87E-06,1.76E+02,1.92E+00,1.08E-01,1.55E+00,3.33E+07
1.96E+00,4.95E-02,1.88E-06,5.90E+01,2.57E+00,1.07E+00,2.90E+00,7.05E+06
5.25E+04,7.07E-03,1.23E-05,1.61E+17,1.01E+24,1.06E+32,1.25E+28,2.34E+00
1.67E+00,5.53E-03,1.37E-06,2.11E+02,4.65E+00,1.87E+00,2.64E+00,1.56E+07
3.87E+01,4.94E-14,2.25E-14,2.62E-08,3.93E-18,1.01E+14,3.65E-19,1.22E-06
3.80E+00,2.87E-01,3.20E-06,1.67E+02,3.81E+00,2.53E-01,1.58E+00,4.82E+07
2.10E+00,6.79E-02,3.02E-06,4.60E+02,4.99E+00,8.52E-01,2.03E+00,8.10E+06
1.08E+01,1.43E-01,1.19E-04,1.77E+00,2.26E+00,1.86E-02,1.79E+00,5.73E+06
2.91E+00,1.30E-01,1.06E-06,2.84E+02,3.10E+00,1.76E+00,2.91E+00,1.80E+07
1.47E+00,1.62E-01,2.48E-06,3.24E+02,2.98E+00,4.80E-01,1.75E+00,2.28E+07
7.10E+03,2.97E-42,4.04E-65,1.27E-23,1.76E+11,1.55E-30,7.88E+04,7.04E+16
2.63E+00,7.95E-04,3.10E-06,6.51E+01,1.88E+00,5.66E-01,3.72E+00,7.80E+07
1.93E+00,1.22E-01,3.62E-06,1.56E+02,3.76E+00,5.06E-01,2.30E+00,1.71E+07
2.22E+00,1.96E-01,7.69E-07,2.74E+02,2.96E+00,2.08E+00,2.86E+00,2.39E+07
3.52E+00,1.12E-01,7.67E-07,2.55E+02,2.24E+00,4.37E+00,6.14E+00,1.42E+07
1.82E+00,1.36E-02,6.97E-07,1.63E+02,1.43E+01,1.08E+01,3.11E+00,9.86E+06
4.17E+00,2.10E-02,2.32E-06,5.14E+02,2.55E+00,6.56E-01,2.50E+00,1.80E+07
1.51E+00,1.35E-02,8.28E-07,1.24E+02,1.81E+00,2.52E+00,4.28E+00,6.08E+07
5.33E+00,1.82E-01,5.90E-05,4.24E+00,2.21E+00,1.42E-02,1.17E+00,1.50E+07
1.05E+00,1.09E-01,2.98E-06,2.60E+02,1.23E+01,1.34E+00,1.56E+00,1.87E+07
5.07E+00,8.00E-02,2.26E-05,1.41E+02,1.92E+00,6.05E-02,1.82E+00,5.07E+06
1.85E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
4.16E+00,3.08E-01,1.15E-05,3.96E+01,1.27E+00,7.30E-02,2.19E+00,1.94E+07
8.71E+00,1.62E-02,6.99E-06,8.73E+01,1.85E+00,1.44E-01,2.02E+00,1.74E+07
6.32E-01,3.83E-02,7.83E-07,5.90E+00,7.60E+00,3.56E+01,2.30E+01,1.15E+07
1.43E+00,4.00E-02,1.18E-06,1.63E+02,2.43E+00,6.02E+00,1.57E+01,1.12E+07
5.46E+03,8.14E-03,2.38E+06,2.20E+13,8.66E-05,1.65E+09,2.91E-01,2.93E+17
1.59E+00,1.76E-02,1.95E-06,3.27E+02,4.24E+00,1.07E+00,2.00E+00,6.39E+06
9.03E+04,2.21E-52,9.11E-03,8.22E-27,6.10E-24,2.60E-69,1.39E+21,3.11E+03
2.03E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.82E+00,1.19E-02,2.18E-06,2.07E+01,1.48E+01,3.86E+00,3.24E+00,6.01E+06
inf,3.84E-05,1.87E-64,8.39E-47,5.53E+37,2.32E-53,2.46E+12,3.34E+07
2.30E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.13E+00,1.30E-02,4.82E-07,8.53E+00,5.53E+00,2.38E+01,8.29E+00,1.33E+06
2.56E+00,1.09E-01,2.22E-06,1.21E+02,2.67E+00,5.53E-01,2.47E+00,3.84E+07
6.10E+00,1.76E-01,6.22E-05,5.58E+00,3.02E+00,1.98E-02,1.34E+00,1.39E+07
1.20E+00,4.71E-03,1.35E-06,1.75E+02,2.65E+00,1.44E+00,3.27E+00,9.46E+07
1.21E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.35E+00,3.36E-01,4.37E-06,4.14E+01,1.75E+00,1.25E-01,1.47E+00,3.02E+07
6.82E+00,3.25E-02,1.61E-05,2.22E+01,1.82E+00,6.47E-02,1.69E+00,4.86E+07
3.46E+00,1.57E-01,3.52E-07,3.29E+02,3.67E+00,4.98E+00,2.84E+00,2.99E+07
6.31E+00,8.66E-02,1.06E-05,1.19E+02,2.92E+00,1.39E-01,3.09E+00,7.86E+07
1.57E+00,8.05E-04,5.70E-07,6.16E+01,1.64E+01,1.74E+01,3.97E+00,3.06E+07
6.53E+00,6.79E-01,5.38E-05,2.42E+00,1.94E+00,8.68E-03,1.28E+00,3.97E+07
4.42E+01,2.14E+01,1.52E-05,2.79E-02,5.85E-09,8.87E+08,2.18E-06,2.70E-01
8.32E+00,1.86E-01,3.41E-05,5.40E+00,2.10E+00,2.60E-02,1.47E+00,1.69E+07
9.59E+02,2.14E-24,4.25E-28,8.25E+33,2.34E+04,5.42E+29,5.79E+08,1.77E+10
2.21E+00,7.86E-02,1.22E-06,2.84E+02,6.01E+00,2.67E+00,2.62E+00,1.14E+07
8.18E+02,3.06E-19,6.92E-09,1.40E-03,5.70E+03,3.62E+05,3.54E+03,5.75E-01
8.10E+01,7.26E-02,7.33E-07,2.02E+02,4.22E+00,4.64E+00,4.40E+00,1.33E+07
1.74E+00,8.01E-03,4.65E-06,1.23E+02,2.85E+00,2.83E-01,1.64E+00,1.91E+07
6.23E+01,2.76E+11,6.08E+02,1.48E-07,1.09E-05,3.72E+17,2.41E-30,1.22E-11
1.09E+00,1.07E-01,1.79E-06,2.90E+01,2.07E+00,1.24E+00,4.49E+00,1.41E+07
3.24E+00,1.24E-01,4.94E-06,4.59E+01,1.63E+00,2.95E-01,2.19E+00,7.38E+06
1.42E+00,8.49E-02,2.71E-06,1.23E+02,4.54E+00,7.32E-01,2.41E+00,2.14E+07
1.98E+04,1.27E-15,9.50E-15,3.86E+09,2.20E+06,3.28E+15,1.81E+06,6.73E+06
1.40E+00,3.08E-02,2.28E-06,1.92E+02,3.47E+01,5.45E+00,2.01E+00,2.52E+07
1.78E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.10E+03,1.65E-06,5.60E-07,3.66E-02,1.20E+01,1.06E+00,6.38E+04,6.19E+03
2.28E+00,3.61E-02,1.70E-06,6.81E+01,2.55E+00,1.76E+00,5.48E+00,9.29E+06
2.15E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
